xo,Expiration Date,Current version,Description,How to rotate,used?,Rotated?,
production/release/iib/iib-service-account,,,keytab key with value keytab encoded file?,"- Request new ServiceAccount (new numbered suffix) and keytab via service-now (see form). 
- Create MR to update this section.
- Once MR is merged, update app-interface with a MR. 
- Then create new SNow ticket (same  form) asking to delete old Service Account",app-interface as secret iib-service-account (prod),new,TRUE
production/release/ldap/konflux-release-gitlab-bot,,,"LDAP service account. fields contain username, password and snow_reference",You can raise a request password reset via this form https://redhat.service-now.com/help?id=sc_cat_item&sys_id=ec649e491bc74d587f9bfc8f034bcbe3,"used as Gitlab bot. Login using the username, password and generate access tokens",new,FALSE
stonesoup/production/release/quay/konflux-release-service-access-management,,,quay app to be able to manage repo access,Contact Tim Waugh or Ralph Bean to request rotation (done via https://gitlab.cee.redhat.com/exd/quay/quay-access-management),ExternalSecret,KONFLUX-4437,FALSE
production/release/quay/redhat,,1,quay robot token and username (redhat+rhtap_fbc_release_prod) to push index images.,Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-699,TRUE
production/release/quay/rh-osbs__iib-pub,,1,quay robot token and username (rh-osbs+rhtap_fbc_release_prod) to push index images.,Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),app-interface as secret iib-overwrite-fromimage-credentials,RHTAPREL-701,TRUE
production/release/quay/rh-osbs__rhtap_preview_iib,,2,quay robot token and username (rh-osbs+rhtap_preview_iib) to push index images.,Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),app-interface as secret  iib-preview-overwrite-fromimage-credential,RHTAPREL-703,TRUE
production/release/quay/rhtap_fbc_release_preprod,,1,quay robot token and username (redhat+rhtap_fbc_release_preprod) to push index images.,Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-697,TRUE
production/release/radas_signing,Deleted - See RELEASE-2005,1,private key and cert for radas signing,"See Pyxis access request and https://issues.redhat.com/browse/RHTAPREL-627
- Use service-account-credentials found as key in Vault.
- Once new certificate created and it should be added to Vault as new version
- It should then be propagated to RemoteSecrets (See Adding a Secret to a Managed Workspace on how to update)
- The old certificate needs to be revoked.
- Determine the serial number:
openssl x509 -in hacbs-release-pyxis.crt -noout -text | grep 'Serial Number'
- Note the item in brackets (0xffe15d7)

- Go to https://redhat.service-now.com/ and click Support Services at the top right corner, or go directly to https://redhat.service-now.com/help?id=rh_service_catalog
- Then click Request General Support at the bottom left. 
- Select IT.
Is there a service degradation? No
Select the app: RHCS
Are you requesting something new? New

- Enter the following as the body:

Please revoke the following certificates.
- 0xffe15d7 (<- change this)",app-interface as secret hacbs-signing-pipeline-certs,RHTAPREL-706,TRUE
,,,,,,,
hacbs,,,,,,,
hacbs-internal-services/fbc/preview/publishing-credentials,,1,"sourceIndexCredential key with value rh-osbs+rhtap_preview_iib:<token>
targetIndexCredential key with value redhat+rhtap_fbc_release_preprod:<token>",Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),app-interface as secret fbc-preview-publishing-credentials,RHTAPREL-698,TRUE
hacbs/hacbs-internal-services/internal-services-controller/remote-client-config/hacbs-dev,,9,kubeconfig key with kubeconfig file as value,"- re-run get-kubeconfig-from-service-account.sh. 
- Copy file to clipboard and creation new version in Vault",app-interface as secret remote-client-config,RHTAPREL-690,TRUE
hacbs/hacbs-internal-services/internal-services-controller/remote-client-config/staging-p01,,,kubeconfig key with kubeconfig file as value,"- re-run get-kubeconfig-from-service-account.sh. 
- Copy file to clipboard and creation new version in Vault",app-interface as secret as remote-client-config,,FALSE
hacbs/hacbs-internal-services/internal-services-controller/remote-client-config/stonesoup-prod,,5,kubeconfig key with kubeconfig file as value,re-run get-kubeconfig-from-service-account.sh,app-interface as secret remote-client-config,RHTAPREL-707,TRUE
,,,,,,,
konflux,,,,,,,
konflux/release/internal-services/gitlab/gitlab.cee/create-advisory-prod-secret,January 13 2027,3,used for pushing to https://gitlab.cee.redhat.com/releng/advisories.git ,"- Go to https://gitlab.cee.redhat.com/releng/advisories/-/settings/access_tokens.
- Create new token with name release-service-token-MMDDYYYY and Developer role and read_repository + write_repository scopes.",app-interface as secret create-advisory-secret,,FALSE
konflux/release/internal-services/gitlab/gitlab.cee/create-advisory-stage-secret,January 13 2027,3,used for pushing to https://gitlab.cee.redhat.com/rhtap-release/advisories.git ,"- Go to https://gitlab.cee.redhat.com/rhtap-release/advisories/-/settings/access_tokens.
- Create new token with name release-service-token-MMDDYYYY and Developer role and read_repository + write_repository scopes.",app-interface as secret create-advisory-secret,,FALSE
konflux/release/internal-services/errata/prod/errata-service-account,,,used for obtaining a kerberos ticket as our errata service account and communicating with the errata api,https://redhat.service-now.com/help?id=sc_cat_item&sys_id=ec649e491bc74d587f9bfc8f034bcbe3,app-interface as secret service-account,,
konflux/release/internal-services/errata/stage/errata-service-account,,,used for obtaining a kerberos ticket as our errata service account and communicating with the errata api,https://redhat.service-now.com/help?id=sc_cat_item&sys_id=ec649e491bc74d587f9bfc8f034bcbe3,app-interface as secret service-account,,
konflux/release/umb/nonprod/umb-certificates,January 8 2027,,crt and key files,You will need to generate new client cert. Follow the UMB Client Guide,,,
konflux/release/umb/nonprod/umb-service-account,,,id nonprod-konflux-release-umb and password,not required,,,
konflux/release/umb/prod/umb-certificates,January 8 2027,,crt and key files,You will need to generate new client cert. Follow the UMB Client Guide,,,
konflux/release/umb/prod/umb-service-account,,,id konflux-release-umb and password,not required,,,
konflux/release/internal-services/exodus/prod/exodus-service-account,,,production service account and password for exodus CDN,Follow steps from this Jira: CLOUDDST-22185,,,
konflux/release/internal-services/exodus/prod/certificates,March 29 2026,,production certificate for exodus CDN,Follow steps from this Jira: CLOUDDST-22187 ,,,
konflux/release/internal-services/exodus/nonprod/exodus-service-account,,,nonprod service account and passwordfor exodus CDN,Follow steps from this Jira: CLOUDDST-22185,,,
konflux/release/internal-services/exodus/nonprod/certificates,March 29 2026,,nonprod certificate for exodus CDN,Follow steps from this Jira: CLOUDDST-22185,,,
konflux/release/internal-services/rhsm-pulp/prod/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for accessing production pulp in the pulp_push_wrapper script",Follow steps from this Jira: RHELDST-25044,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/rhsm-pulp/stage/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for accessing stage pulp in the pulp_push_wrapper script",Follow steps from this Jira: RHELDST-25044,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/rhsm-pulp/qa/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for accessing qa pulp in the pulp_push_wrapper script",Follow steps from this Jira: RHELDST-25044,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/udcache/prod/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for flushing udcache production instance in the pulp_push_wrapper script",Follow steps from this Jira: TEAMNADO-7368,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/udcache/stage/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for flushing udcache staging instance in the pulp_push_wrapper script",Follow steps from this Jira: TEAMNADO-7368,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/udcache/qa/certificate,notAfter=Jun 11 19:20:27 2026 GMT,,"cert, key, and url for flushing udcache qa instance in the pulp_push_wrapper script",Follow steps from this Jira: TEAMNADO-7368,app-interface as secret rhsm-pulp-prod-secret,,
konflux/release/internal-services/content-gateway/prod/content-gateway-service-account,,,production service account for content gateway,Generate token from webUI: https://source.redhat.com/groups/public/dxp/exd_digital_experience_platforms_dxp_blog/user_tokens_now_available_in_content_gateway,,,
konflux/release/internal-services/content-gateway/prod/content-gateway-service-account-read-only,,,READ ONLY production service account for content gateway,Generate token from webUI: https://source.redhat.com/groups/public/dxp/exd_digital_experience_platforms_dxp_blog/user_tokens_now_available_in_content_gateway,,,
konflux/release/internal-services/osidb/prod/osidb-service-account,,,used for obtaining a kerberos ticket as our osidb service account and communicating with the osidb api,https://redhat.service-now.com/help?id=sc_cat_item&sys_id=ec649e491bc74d587f9bfc8f034bcbe3,app-interface as secret service-account,,
konflux/release/pyxis/stage,January 17 2027,,"SA username konflux-release-pyxis-staging and password
contains cert and key file content ","https://issues.redhat.com/browse/RHTAPREL-894

Generating a pyxis certificate

Note: when the Service Account name is changed, you must notify the CLOUDWF team via a ticket 

See example: CLOUDWF-10575 ",RemoteSecret,,
konflux/release/pyxis/prod,January 17 2027,,"SA username konflux-release-pyxis-prod and password
contains cert and key file content ","https://issues.redhat.com/browse/RHTAPREL-894

Generating a pyxis certificate

Note: when the Service Account name is changed, you must notify the CLOUDWF team via a ticket 

See example: CLOUDWF-10575 ",RemoteSecret,,
konflux/release/quay/prod/redhat-workloads-token,,,Token used for pulling from the konflux-ci/redhat-workloads quay repo in internal-services taskruns,Ask someone with perms to the konflux-ci/redhat-workloads repo (first version from Ralph),app-interface as secret linked to SA,,
konflux/release/internal-services/signing-servers/prod/konflux-release-signing-sa,,,production a service account for publishing signed binaries to developer portal,submit a service-now request to IT asking to rotate the password. Original work done here:  CLDX-77,,New,
konflux/release/quay/prod/konflux-artifacts,,,Used for sharing OCI artifacts between Konflux and signing hosts during release,"swickers, bhills, or pkhander can update/rotate directly from quay org",,,
konflux/release/registry.redhat.io,,,Credentials for pull secret when building release-utils in Konflux,Generate new password here: https://access.redhat.com/terms-based-registry/#/,Pull secret manually created in rhtap-release-2 workspace in Konflux,,
konflux/release/github/release-service-bot,,,"email, password, and recovery keys for https://github.com/release-service-bot ",,"catalog promotion script, internal-services final pipeline",,
e2e-tests,,,,,,,
redhat-appstudio-registry-pull-secret,,,To pull images from docker.io /quay.io in build PipelineRun,Default secret after cluster provision,,,
hacbs-release-tests-token,,,To pull/push images from quay.io in managed PipelineRun,"In staging cluster: dockerconfigjson type  secret  for ""hacbs-release-tests+m5_robot_account"" 
In ephemeral cluster: Get value from env virable QUAY_TOKEN",,,
redhat-appstudio-qe-bot-token,,,To create release in github repo,Get value from env virable GITHUB_TOKEN,,,
release-tests-token,,,To push images to pyxis staging repo,"In staging cluster: dockerconfigjson type secret for ""redhat-pending+rhtap_release_integration2"" from vault.",,,
test-cosign-secret,,,Used by rh_sign_cosign task,Got the current one from yuzheng@ and saved in vault  (secrets/konflux/release/cosign). jluza provided PUBLIC_KEY,,,
file-updates-secret,,,Used by run-file-updates task,Token for project https://gitlab.cee.redhat.com/hacbs-qe/app-interface ,,,
publish-to-cgw-secret,,,Used by publish-to-cgw task,"Created by @pkhander or @swickers and saved in vault 
(secrets/konflux/release/internal-services/content-gateway)",,,
exodus-prod-secret,,,Used by push-to-cdn task,"Created by @pkhander or @swickers and saved in vault 
(secrets/konflux/release/internal-services/exodus/prod/certificates)",,,
